ticker,company,industry,form,score,recommended
,4 - AKKR SC GPI HoldCo LP,,4,3,False
,4 - AKKR STRATEGIC CAPITAL LP,,4,3,False
,"4 - Accel-KKR Holdings GP, LLC",,4,3,False
,"4 - Accel-KKR Members Fund, LLC",,4,3,False
PAY,"Paymentus Holdings, Inc.","Services-Business Services, NEC",4,3,False
,"4 - ACCEL-KKR CAPITAL PARTNERS CV III, LP",,4,3,False
,"4 - ACCEL-KKR GROWTH CAPITAL PARTNERS III, LP",,4,3,False
,"4 - Accel-KKR Growth Capital Partners II Strategic Fund, LP",,4,3,False
,"4 - Accel-KKR Growth Capital Partners II, LP",,4,3,False
,4 - Daul Ty P.,,4,3,False
,4 - Tompkins Mark N.,,4,3,False
,4 - Jacobs Ian Seth,,4,3,False
,4 - WATSON CHARLES L.,,4,3,False
,4 - Tompkins Mark N.,,4,3,False
,4 - Jacobs Ian Seth,,4,3,False
,4 - MURDOCH JAMES R,,4,3,False
TSLA,"Tesla, Inc.",Motor Vehicles & Passenger Car Bodies,4,3,False
,3 - Raciti Frank B.,,3,2,False
,3 - Mallinckrodt plc,Pharmaceutical Preparations,3,2,False
,4 - Nicolas Andrea Liria,,4,3,False
,4 - Richmond C Bradford,,4,3,False
BJRI,BJs RESTAURANTS INC,Retail-Eating  Places,4,3,False
,4 - Xie Jian,,4,3,False
FLGT,"Fulgent Genetics, Inc.",Services-Medical Laboratories,4,3,False
FLGT,"Fulgent Genetics, Inc.",Services-Medical Laboratories,4,3,False
,4 - Hsieh Ming,,4,3,False
FLGT,"Fulgent Genetics, Inc.",Services-Medical Laboratories,4,3,False
,4 - Kim Paul,,4,3,False
,4 - Gao Hanlin,,4,3,False
FLGT,"Fulgent Genetics, Inc.",Services-Medical Laboratories,4,3,False
MBRX,"Moleculin Biotech, Inc.",Pharmaceutical Preparations,8-K,5,True
HOTH,"Hoth Therapeutics, Inc.",Pharmaceutical Preparations,4,3,False
,4 - Knie Robb,,4,3,False
BAK,BRASKEM SA,Industrial Organic Chemicals,6-K,4,False
,4 - Liu Liang Chiu-Chu Sara,,4,3,False
SMCI,"Super Micro Computer, Inc.",Electronic Computers,4,3,False
,4 - Liang Charles,,4,3,False
SMCI,"Super Micro Computer, Inc.",Electronic Computers,4,3,False
HLIO,"HELIOS TECHNOLOGIES, INC.",Miscellaneous Fabricated Metal Products,8-K,5,True
,4 - Anderson Aaron,,4,3,False
META,"Meta Platforms, Inc.","Services-Computer Programming, Data Processing, Etc.",4,3,False
,4 - Noto Anthony,,4,3,False
MYPSW,"PLAYSTUDIOS, Inc.",Services-Prepackaged Software,4,3,False
,4 - PASCAL ANDREW S,,4,3,False
,4 - Oh Irene H,,4,3,False
,4 - Newstead Jennifer,,4,3,False
META,"Meta Platforms, Inc.","Services-Computer Programming, Data Processing, Etc.",4,3,False
SVIIW,Spring Valley Acquisition Corp. II,Miscellaneous Metal Ores,425,3,False
,4 - TEO GARY,,4,3,False
,4 - Tomey Alex,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - ADINA STORCH,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - Shetty Manoj,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - Mercier Laurent,,4,3,False
COTY,COTY INC.,"Perfumes, Cosmetics & Other Toilet Preparations",4,3,False
,4 - Longhito Christopher,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - Hughes Claudia,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - Clark Thomas Eugene,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - Fielding Donna,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - AXMACHER THOMAS,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - West Tony,,4,3,False
UBER,"Uber Technologies, Inc","Services-Business Services, NEC",4,3,False
,4 - ARMSTRONG LISA,,4,3,False
GIC,GLOBAL INDUSTRIAL Co,Wholesale-Industrial Machinery & Equipment,4,3,False
,4 - Zamiska Gene M.,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
,4 - Tregillis Cynthia L,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
,4 - Tan Irving,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
,4 - Shihab Ahmed Mohammed,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
,4 - Sennesael Kris,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
,4 - Gubbi Vidyadhara K,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
,4 - Davis Brian Scott,,4,3,False
WDC,WESTERN DIGITAL CORP,Computer Storage Devices,4,3,False
ALKT,"ALKAMI TECHNOLOGY, INC.",Services-Prepackaged Software,4,3,False
,4 - Shootman Alex,,4,3,False
,3 - Suhadolnik Kate Eileen,,3,2,False
GWH-WT,"ESS Tech, Inc.","Miscellaneous Electrical Machinery, Equipment & Supplies",3,2,False
,3 - Trivedi Jigish Dhirajlal,,3,2,False
GWH-WT,"ESS Tech, Inc.","Miscellaneous Electrical Machinery, Equipment & Supplies",3,2,False
,4 - MCNEILL BRIAN W,,4,3,False
UONEK,"URBAN ONE, INC.",Radio Broadcasting Stations,4,3,False
,4 - Grasso Alfred,,4,3,False
NTCT,NETSCOUT SYSTEMS INC,Services-Computer Integrated Systems Design,4,3,False
,4 - Abdalla Zein,,4,3,False
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Services-Computer Programming Services,4,3,False
,3 - Paszterko John Andrew,,3,2,False
NRDY,Nerdy Inc.,Services-Educational Services,3,2,False
,4 - MOW RAYMOND,,4,3,False
,4 - BAKKEN SCOTT,,4,3,False
UUUU,ENERGY FUELS INC,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),4,3,False
,4 - Bates Jonathan Robert,,4,3,False
,4 - Innovative Digital Investors Emerging Technology LP,,4,3,False
,4 - Stanton Marshall S.,,4,3,False
AORT,"ARTIVION, INC.",Surgical & Medical Instruments & Apparatus,4,3,False
,3 - Carlson Christopher,,3,2,False
RBA,RB GLOBAL INC.,"Services-Business Services, NEC",3,2,False
MYSEW,"Myseum, Inc.",Telegraph & Other Message Communications,4,3,False
,4 - Myman Darin M,,4,3,False
JHIUF,James Hardie Industries plc,"Concrete Products, Except Block & Brick",6-K,4,False
,4 - Wren Chris,,4,3,False
PLNH,Planet 13 Holdings Inc.,Agricultural Production-Crops,4,3,False
,3 - Sprung Lloyd A.,,3,2,False
CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/,Radio & Tv Broadcasting & Communications Equipment,3,2,False
,4 - SIEGERT PAUL ERIC,,4,3,False
KOSS,KOSS CORP,Household Audio & Video Equipment,10-K,5,True
,4 - Groesbeck Robert,,4,3,False
PLNH,Planet 13 Holdings Inc.,Agricultural Production-Crops,4,3,False
,4 - Benioff Marc,,4,3,False
CRM,"Salesforce, Inc.",Services-Prepackaged Software,4,3,False
,485APOS - Janus Detroit Street Trust,,485APOS,3,False
,485APOS - Janus Detroit Street Trust,,485APOS,3,False
PRVA,"Privia Health Group, Inc.",Services-Health Services,8-K,5,True
,4 - KELLOGG W K FOUNDATION TRUST,,4,3,False
,4 - KELLOGG W K FOUNDATION,,4,3,False
K,KELLANOVA,Grain Mill Products,4,3,False
,497VPI - FS VARIABLE SEPARATE ACCOUNT,,497VPI,3,False
,497 - FS VARIABLE SEPARATE ACCOUNT,,497,3,False
,4 - Gottschalk Max,,4,3,False
PMNT,Perfect Moment Ltd.,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,4,3,False
SION,"Sionna Therapeutics, Inc.",Pharmaceutical Preparations,4,3,False
,4 - Cloonan Michael,,4,3,False
